"embedding","weighting","PC1_removal","property","value","SD"
"biophysical
properties","none","CCR","syntax",-0.0785946546116636,1.09168225970531
"biophysical
properties","SIF","CCR","syntax",-0.174318812495881,1.21455464452244
"biophysical
properties","SIF","none","syntax",-0.092979890253467,1.11477215676237
"biophysical
properties","TFIDF","CCR","syntax",-0.202069541525997,1.25496907268923
"biophysical
properties","TFIDF","none","syntax",-0.10520649218194,1.1186199634474
"biophysical
properties","none","none","syntax",-0.143856968911586,1.1536315595175
"quasi-
sequence-
order","none","CCR","syntax",-0.43022252466859,1.34907153222233
"quasi-
sequence-
order","none","none","syntax",-0.0976839861395119,1.0950479575088
"random","none","CCR","syntax",-0.379620919435727,1.33150937065075
"random","SIF","CCR","syntax",-0.28230222229111,1.29384852573703
"random","SIF","none","syntax",-0.161065899024045,0.618538328650603
"random","TFIDF","CCR","syntax",-0.207651361827445,1.26833281157893
"random","TFIDF","none","syntax",-0.161134918509546,0.621338523062761
"random","none","none","syntax",-0.162925110932255,0.619862706652736
"Seq2Vec","none","CCR","syntax",-0.27055667477584,1.28728460527344
"Seq2Vec","SIF","CCR","syntax",-0.307790951498698,1.30632969599941
"Seq2Vec","SIF","none","syntax",-0.0388874405263703,1.02634733926408
"Seq2Vec","TFIDF","CCR","syntax",-0.26241839709937,1.29729374620118
"Seq2Vec","TFIDF","none","syntax",-0.0290004980143643,0.982793600579989
"Seq2Vec","none","none","syntax",-0.0374784908565204,1.02220993413763
"term
frequency","none","CCR","syntax",-0.193703105329986,1.21929469153956
"term
frequency","none","none","syntax",-0.0486056758099935,1.00488214868718
"biophysical
properties","none","CCR","semantics",0.00573098582853207,0.940914796217549
"biophysical
properties","SIF","CCR","semantics",0.040331739166492,1.08844417480286
"biophysical
properties","SIF","none","semantics",0.024517168843741,0.932775053527074
"biophysical
properties","TFIDF","CCR","semantics",0.0726579909267175,1.17863235926957
"biophysical
properties","TFIDF","none","semantics",0.0268717745304654,0.954673065158168
"biophysical
properties","none","none","semantics",0.0266131133190886,1.01823312050523
"quasi-
sequence-
order","none","CCR","semantics",0.101222486055362,1.21205866248618
"quasi-
sequence-
order","none","none","semantics",0.0444033044181059,0.944727742103514
"random","none","CCR","semantics",0.0869537052082611,1.18950432513381
"random","SIF","CCR","semantics",0.0689247283130823,1.18344868051419
"random","SIF","none","semantics",0.0700606660532087,0.698775890778142
"random","TFIDF","CCR","semantics",0.0924342645232524,1.20322602538993
"random","TFIDF","none","semantics",0.0734437463440781,0.70066551730772
"random","none","none","semantics",0.072422821956655,0.695184989131831
"Seq2Vec","none","CCR","semantics",0.065835805543916,1.17489931166843
"Seq2Vec","SIF","CCR","semantics",0.0741447182179929,1.18747556858236
"Seq2Vec","SIF","none","semantics",0.00265985874627686,0.84723888117733
"Seq2Vec","TFIDF","CCR","semantics",0.0931317948204908,1.21444636942132
"Seq2Vec","TFIDF","none","semantics",-0.00314340066526052,0.846046322519483
"Seq2Vec","none","none","semantics",0.00272136835570949,0.855050103692993
"term
frequency","none","CCR","semantics",0.0324663529694907,1.04647065668369
"term
frequency","none","none","semantics",-0.00647643684663013,0.832283364981151
