"embedding","weighting","PC1_removal","property","value","SD"
"dinucleotide-based
cross-covariance","none","CCR","syntax",0.851131517353343,1.1504583796742
"dinucleotide-based
cross-covariance","none","none","syntax",1.06087278189262,0.89709432988266
"pseudo-
dinucleotide-
composition","none","CCR","syntax",0.855432817165139,1.15498972922945
"pseudo-
dinucleotide-
composition","none","none","syntax",1.00082431374413,0.896670949237497
"random","none","CCR","syntax",0.838461881386451,1.15663911113697
"random","SIF","CCR","syntax",0.823428352419504,1.16932028249197
"random","SIF","none","syntax",0.918499106894032,0.671063106216097
"random","TFIDF","CCR","syntax",0.858919424018956,1.15254389103697
"random","TFIDF","none","syntax",0.907253257219981,0.666000567364373
"random","none","none","syntax",0.914042373258836,0.667637957105395
"Seq2Vec","none","CCR","syntax",0.865576290149963,1.14404915104061
"Seq2Vec","SIF","CCR","syntax",0.839421280945457,1.1607182785947
"Seq2Vec","SIF","none","syntax",1.03785327954935,0.885577865719704
"Seq2Vec","TFIDF","CCR","syntax",0.83713419442486,1.16861385276726
"Seq2Vec","TFIDF","none","syntax",1.02909220648287,0.876391716498372
"Seq2Vec","none","none","syntax",1.03795697920628,0.883380682591294
"term
frequency","none","CCR","syntax",0.929828042421982,0.993072133013654
"term
frequency","none","none","syntax",1.05409990804407,0.859109417840224
"dinucleotide-based
cross-covariance","none","CCR","semantics",-0.449090491928531,1.33013439294583
"dinucleotide-based
cross-covariance","none","none","semantics",-0.853457468355084,1.02238574940769
"pseudo-
dinucleotide-
composition","none","CCR","semantics",-0.4520147083034,1.32926592727588
"pseudo-
dinucleotide-
composition","none","none","semantics",-0.841698896682877,1.05386106811126
"random","none","CCR","semantics",-0.430463035666819,1.33694429196403
"random","SIF","CCR","semantics",-0.399451351182001,1.34787274021729
"random","SIF","none","semantics",-0.690030729527855,0.630186674161755
"random","TFIDF","CCR","semantics",-0.463694041185104,1.32475588649716
"random","TFIDF","none","semantics",-0.691744214180806,0.62791765742281
"random","none","none","semantics",-0.689954126880802,0.630806488616864
"Seq2Vec","none","CCR","semantics",-0.481222520386144,1.31735478153076
"Seq2Vec","SIF","CCR","semantics",-0.432388489504936,1.33635697005919
"Seq2Vec","SIF","none","semantics",-0.864523039818796,0.99447507313886
"Seq2Vec","TFIDF","CCR","semantics",-0.412554777434462,1.34374285524604
"Seq2Vec","TFIDF","none","semantics",-0.872037002976683,1.00361347094291
"Seq2Vec","none","none","semantics",-0.874528389557276,0.989090187428451
"term
frequency","none","CCR","semantics",-0.776637148538434,1.1447423264325
"term
frequency","none","none","semantics",-0.810937855906671,0.929021302563266
