Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) T,Coverage (%) Y,Coverage (%) Z,Coverage (%) I,Coverage (%) K,Area T,Area Y,Area Z,Area I,Area K,#Peptides,#Unique,#Spec T,#Spec Y,#Spec Z,#Spec I,#Spec K,PTM,Avg. Mass,Description
11,827,ENSMUSP00000044188.8|ENSMUST00000045897.14|ENSMUSG00000026238.14|OTTMUSG00000048097.2|OTTMUST00000123572.1|Ptma-201|Ptma|111,159.83,66,32,13,66,33,25,2.3733E7,8.5077E5,1.6614E8,3.9278E8,7.4003E6,15,15,17,6,78,190,9,Acetylation (Protein N-term); Deamidation (NQ),12254,ENSMUSP00000044188.8|ENSMUST00000045897.14|ENSMUSG00000026238.14|OTTMUSG00000048097.2|OTTMUST00000123572.1|Ptma-201|Ptma|111
19,5,ENSMUSP00000071486.6|ENSMUST00000071555.12|ENSMUSG00000062825.15|OTTMUSG00000004137.3|OTTMUST00000009340.1|Actg1-202|Actg1|375,148.65,55,45,29,16,27,12,0,,6.1395E6,1.5983E6,0,29,1,42,79,25,78,28,Oxidation (M); Acetylation (Protein N-term),41793,ENSMUSP00000071486.6|ENSMUST00000071555.12|ENSMUSG00000062825.15|OTTMUSG00000004137.3|OTTMUST00000009340.1|Actg1-202|Actg1|375
17,4,ENSMUSP00000098066.4|ENSMUST00000100497.10|ENSMUSG00000029580.14|OTTMUSG00000035960.5|OTTMUST00000092248.1|Actb-201|Actb|375,148.59,55,45,31,16,27,12,2.5772E6,1.5067E6,1.7659E7,9.526E6,1.5518E6,29,1,45,88,25,77,31,Oxidation (M); Acetylation (Protein N-term),41737,ENSMUSP00000098066.4|ENSMUST00000100497.10|ENSMUSG00000029580.14|OTTMUSG00000035960.5|OTTMUST00000092248.1|Actb-201|Actb|375
86,16,ENSMUSP00000021083.6|ENSMUST00000021083.6|ENSMUSG00000020737.12|OTTMUSG00000003443.2|OTTMUST00000007275.1|Jpt1-201|Jpt1|154,142.39,36,18,0,18,18,10,1.2926E7,,1.4923E7,1.4853E7,1.487E6,16,16,35,0,20,24,5,Acetylation (Protein N-term),16081,ENSMUSP00000021083.6|ENSMUST00000021083.6|ENSMUSG00000020737.12|OTTMUSG00000003443.2|OTTMUST00000007275.1|Jpt1-201|Jpt1|154
294,234,ENSMUSP00000083705.5|ENSMUST00000086519.11|ENSMUSG00000067274.10|OTTMUSG00000014700.3|OTTMUST00000034862.1|Rplp0-201|Rplp0|317,141.62,13,13,0,2,0,0,1.8808E7,,,,,14,13,24,0,1,0,0,,34216,ENSMUSP00000083705.5|ENSMUST00000086519.11|ENSMUSG00000067274.10|OTTMUSG00000014700.3|OTTMUST00000034862.1|Rplp0-201|Rplp0|317
294,235,ENSMUST00000076373.7|ENSMUSG00000063696.7|OTTMUSG00000061437.1|OTTMUST00000149913.1|Gm8730-201|Gm8730|954|processed_pseudogene|,141.62,13,13,0,2,0,0,1.8808E7,,,,,14,13,24,0,1,0,0,,34216,ENSMUST00000076373.7|ENSMUSG00000063696.7|OTTMUSG00000061437.1|OTTMUST00000149913.1|Gm8730-201|Gm8730|954|processed_pseudogene|
203,79,ENSMUSP00000047661.8|ENSMUST00000040154.8|ENSMUSG00000041697.8|OTTMUSG00000014656.1|OTTMUST00000034761.1|Cox6a1-201|Cox6a1|112,139.85,36,36,11,12,0,0,4.2319E7,1.9003E5,9.339E6,,,14,14,22,5,13,0,0,,12483,ENSMUSP00000047661.8|ENSMUST00000040154.8|ENSMUSG00000041697.8|OTTMUSG00000014656.1|OTTMUST00000034761.1|Cox6a1-201|Cox6a1|112
203,81,ENSMUST00000137766.1|ENSMUSG00000041697.8|OTTMUSG00000014656.1|OTTMUST00000034773.1|Cox6a1-202|Cox6a1|620|retained_intron|,139.85,55,55,16,19,0,0,4.2319E7,1.9003E5,9.339E6,,,14,14,22,5,13,0,0,,8494,ENSMUST00000137766.1|ENSMUSG00000041697.8|OTTMUSG00000014656.1|OTTMUST00000034773.1|Cox6a1-202|Cox6a1|620|retained_intron|
93,8,ENSMUSP00000079727.6|ENSMUST00000080926.12|ENSMUSG00000063524.13|OTTMUSG00000010390.3|OTTMUST00000024224.1|Eno1-202|Eno1|434,136.26,27,15,3,4,19,5,6.2355E7,1.3168E6,6.3873E4,1.6376E6,1.7308E6,13,13,34,12,2,15,15,Oxidation (M),47141,ENSMUSP00000079727.6|ENSMUST00000080926.12|ENSMUSG00000063524.13|OTTMUSG00000010390.3|OTTMUST00000024224.1|Eno1-202|Eno1|434
93,9,ENSMUST00000138679.1|ENSMUSG00000064193.8|OTTMUSG00000013399.1|OTTMUST00000032367.1|Gm4735-201|Gm4735|1302|processed_pseudogene|,136.26,27,15,3,4,19,5,6.2355E7,1.3168E6,6.3873E4,1.6376E6,1.7308E6,13,13,34,12,2,15,15,Oxidation (M),47260,ENSMUST00000138679.1|ENSMUSG00000064193.8|OTTMUSG00000013399.1|OTTMUST00000032367.1|Gm4735-201|Gm4735|1302|processed_pseudogene|
